SN,Ni56 mass,Average/single values,Reference for Ni56 mass,Host galaxy,Distance (Mpc),Reference for distance
SN1969L,0.0820,0.0745,Hamuy03,NGC 1058,5.200,NED
,0.0670,,Elmhamdi+03,,,NED
SN1970G,0.0370,0.0440,Hamuy03,NGC 5457,6.600,NED
,0.0510,,Elmhamdi+03,,,NED
SN1973R,0.0840,0.0840,Hamuy03,NGC 3627,9.6,NED
SN1980K,0.0061,0.0061,Pejcha&Prieto15,NGC 6946,5.500,NED
SN1983K,0.0560,0.0560,Rodriguez+20,NGC 4699,19.700,NED
SN1986I,0.1170,0.1170,Hamuy03,NGC 4254,15.200,NED
SN1986L,0.0340,0.0300,Hamuy03,NGC 1559,14.900,NED
,0.0260,,Nadyozhin+03,,,NED
SN1987A,0.0750,0.0724,Arnett+Fu89,LMC,0.050,NED
,0.0700,,Kleiser+11,,,NED
,0.0780,,Taddia+12,,,NED
,0.0650,,Nadyozhin+03,,,NED
,0.0730,,Otsuka+12,,,NED
,0.0765,,Utrobin&Chugai+11,,,NED
,0.0690,,Sharon+20,,,NED
SN1988A,0.0620,0.0773,Hamuy03,NGC 4579,18.400,NED
,0.0820,,Nadyozhin+03,,,NED
,0.0880,,Elmhamdi+03,,,NED
SN1988H,0.0330,0.0330,Elmhamdi+03,NGC 5878,30.485,NED
SN1989L,0.0150,0.0150,Hamuy03,NGC 7339,22.000,NED
SN1990E,0.0620,0.0523,Hamuy03,NGC 1035,17.400,NED
,0.0520,,Nadyozhin+03,,,NED
,0.0430,,Elmhamdi+03,,,NED
SN1990K,0.0390,0.0390,Hamuy03,NGC 150,19.300,NED
SN1991al,0.0950,0.0580,Hamuy03,PGC 140858,64.200,NED
,0.0670,,Gutierrez+17,,,NED
,0.0120,,Nadyozhin+03,,,NED
SN1991G,0.0220,0.0215,Hamuy03,NGC 4088,13.900,NED
,0.0210,,Elmhamdi+03,,,NED
SN1992af,0.1560,0.1583,Hamuy03,ESO-340-G038,64.400,NED
,0.0790,,Gutierrez+17,,,NED
,0.2400,,Nadyozhin+03,,,NED
SN1992am,0.2560,0.3080,Hamuy03,MCG-01-04-039,165.000,NED
,0.3600,,Nadyozhin+03,,,NED
SN1992ba,0.0372,0.0241,Muller+17,NGC 2082,18.300,NED
,0.0190,,Hamuy03,,,NED
,0.0110,,Gutierrez+17,,,NED
,0.0290,,Nadyozhin+03,,,NED
SN1992H,0.2799,0.1773,Pejcha&Prieto15,NGC 5377,26.200,NED
,0.1290,,Hamuy03,,,NED
,0.1230,,Elmhamdi+03,,,NED
SN1994N,0.0050,0.0055,Spiro+14,UGC 5695,45.300,NED
,0.0060,,Pastorello+04,,,NED
SN1995ad,0.0933,0.0607,Pejcha&Prieto15,NGC 2139,27.100,NED
,0.0280,,Inserra+13,,,NED
SN1996W,0.1153,0.1277,Pejcha&Prieto15,NGC 4027,12.200,NED
,0.1400,,Inserra+13,,,NED
SN1997D,0.0050,0.0055,Spiro+14,NGC 1536,13.400,NED
,0.0080,,Pastorello+04,,,NED
,0.0065,,Elmhamdi+03,,,NED
,0.0036,,Elmhamdi+03,,,NED
,0.0080,,Zampieri+03,,,NED
,0.0020,,Turatto+98,,,NED
SN1998A,0.1100,0.1100,Pastorello+05,IC 2627,9.000,NED
SN1999br,0.0020,0.0019,Spiro+14,NGC 4900,21.500,NED
,0.0020,,Pastorello+04,,,NED
,0.0016,,Hamuy03,,,NED
SN1999ca,0.0380,0.0380,Hamuy03,NGC 3120,30.300,NED
SN1999cr,0.0900,0.0875,Hamuy03,ESO-576-G034,78.100,NED
,0.0850,,Nadyozhin+03,,,NED
SN1999em,0.0536,0.0446,Valenti+16,NGC 1637,11.500,NED
,0.0499,,Pejcha&Prieto15,,,NED
,0.0420,,Hamuy03,,,NED
,0.0500,,Gutierrez+17,,,NED
,0.0190,,Otsuka+12,,,NED
,0.0560,,Bersten+11,,,NED
,0.0580,,Nadyozhin+03,,,NED
,0.0270,,Elmhamdi+03,,,NED
,0.0360,,Hiller+19,,,NED
,0.0750,,Ricks+19,,,NED
,0.0360,,Utrobin&Chugai+11,,,NED
,0.0330,,Zhang+20,,,NED
SN1999eu,0.0010,0.0019,Spiro+14,NGC 1097,17.200,NED
,0.0028,,Elmhamdi+03,,,NED
SN1999ga,0.0130,0.0130,Pastorello+09,NGC 2442,21.000,NED
SN1999gi,0.0320,0.0249,Valenti+16,NGC 3184,12.300,NED
,0.0180,,Hamuy03,,,NED
,0.0250,,Nadyozhin+03,,,NED
,0.0246,,Elmhamdi+03,,,NED
SN2000cb,0.1000,0.0915,Kleiser+11,IC 1158,31.900,NED
,0.0830,,Utrobin&Chugai+11,,,NED
SN2001dc,0.0046,0.0052,Pejcha&Prieto15,NGC 5777,44.300,NED
,0.0050,,Spiro+14,,,NED
,0.0060,,Pastorello+04,,,NED
SN2001X,0.0550,0.0550,Valenti+16,NGC 5921,17.400,NED
SN2002gw,0.0437,0.0278,Muller+17,NGC 0922,42.600,NED
,0.0120,,Gutierrez+17,,,NED
SN2002hh,0.0316,0.0846,Valenti+16,NGC 6946,5.500,NED
,0.0822,,Pejcha&Prieto15,,,NED
,0.1400,,Otsuka+12,,,NED
SN2002hx,0.0530,0.0530,Gutierrez+17,PGC 023727,124.300,NED
SN2003B,0.0229,0.0200,Muller+17,NGC 1097,17.200,NED
,0.0170,,Gutierrez+17,,,NED
SN2003bn,0.0309,0.0309,Muller+17,PGC 831618,58.200,NED
SN2003E,0.0832,0.0832,Muller+17,ESO-485-G004,57.100,NED
SN2003ef,0.0912,0.0912,Muller+17,NGC 4708,62.800,NED
SN2003fb,0.0490,0.0490,Muller+17,UGC 11522,72.400,NED
SN2003gd,0.0120,0.0120,Gutierrez+17,NGC 0628,7.500,NED
,0.0080,,Otsuka+12,,,NED
,0.0160,,Hendry+05,,,NED
SN2003hd,0.0302,0.0318,Muller+17,ESO-543-G017,144.800,NED
,0.0361,,Valenti+16,,,NED
,0.0290,,Gutierrez+17,,,NED
