SN,NI56 mass,Average/single value,std dev,Reference,Host_galaxy,Distance,,Reference for distance
SN1969L,0.0820,0.0745,0.0106,Hamuy03,,5.200,,
,0.0670,,,Elmhamdi+03,,,,
SN1970G,0.0370,0.0440,0.0099,Hamuy03,,6.600,,
,0.0510,,,Elmhamdi+03,,,,
SN1973R,0.0840,0.0840,,Hamuy03,,9.6,,
SN1980K,0.0061,0.0061,,Pejcha&Prieto15,,5.500,,
SN1983K,0.0560,0.0560,,Rodriguez+20,NGC 4699,19.700,,
SN1986I,0.1170,0.1170,,Hamuy03,,15.200,,
SN1986L,0.0340,0.0403,0.0183,Hamuy03,,14.900,,
,0.0610,,,Gutierrez+17,,,,
,0.0260,,,Nadyozhin+03,,,,
SN1987A,0.0750,0.0720,0.0057,Arnett+Fu89,,0.050,,
,0.0700,,,Kleiser+11,,,,
,0.0780,,,Taddia+12,,,,
,0.0650,,,Nadyozhin+03,,,,
SN1988A,0.0620,0.0773,0.0136,Hamuy03,,18.400,,
,0.0820,,,Nadyozhin+03,,,,
,0.0880,,,Elmhamdi+03,,,,
SN1989L,0.0150,0.0150,,Hamuy03,,22.000,,
SN1990E,0.0653,0.0556,0.0101,Valenti+16,,17.400,,
,0.0620,,,Hamuy03,,,,
,0.0520,,,Nadyozhin+03,,,,
,0.0430,,,Elmhamdi+03,,,,
SN1990K,0.0390,0.0390,,Hamuy03,,19.300,,
SN1991al,0.0950,0.0580,0.0422,Hamuy03,,64.200,,
,0.0670,,,Gutierrez+17,,,,
,0.0120,,,Nadyozhin+03,,,,
SN1991G,0.0220,0.0220,,Hamuy03,,13.900,,
SN1992af,0.1560,0.1583,0.0805,Hamuy03,,64.400,,
,0.0790,,,Gutierrez+17,,,,
,0.2400,,,Nadyozhin+03,,,,
SN1992am,0.2560,0.3080,0.0735,Hamuy03,,165.000,,
,0.3600,,,Nadyozhin+03,,,,
SN1992ba,0.0372,0.0241,0.0114,Muller+17,,18.300,,
,0.0190,,,Hamuy03,,,,
,0.0110,,,Gutierrez+17,,,,
,0.0290,,,Nadyozhin+03,,,,
SN1992H,0.2799,0.1773,0.0889,Pejcha&Prieto15,,26.200,,
,0.1290,,,Hamuy03,,,,
,0.1230,,,Elmhamdi+03,,,,
SN1994N,0.0050,0.0055,0.0007,Spiro+14,,45.300,,
,0.0060,,,Pastorello+04,,,,
SN1995ad,0.0933,0.0607,0.0462,Pejcha&Prieto15,,27.100,,
,0.0280,,,Inserra+13,,,,
SN1996W,0.1153,0.1277,0.0175,Pejcha&Prieto15,,12.200,,
,0.1400,,,Inserra+13,,,,
SN1997D,0.0050,0.0055,0.0024,Spiro+14,,13.400,,
,0.0080,,,Pastorello+04,,,,
