SN,Ni56 mass,Average/single values,stdev,Reference,,Host,Distance,,Reference_for_distance
SN1983N,0.1000,0.1000,,Richardson+06,,NGC 5236,6.5,,
SN1984L,0.9200,0.6450,0.3889,Richardson+06,,NGC 991,8.8,,
,0.3700,,,Richardson+06,,,,,
SN1990I,0.1800,0.1800,,Richardson+06,,NGC 4650A,46.4,,
SN1999dn,0.0970,0.1073,0.0154,Prentice+16,,NGC 7714,29.1,,
,0.1000,,,Lyman+16,,,,,
,0.1250,,,Benetti+11,,,,,
SN1999ex,0.1720,0.1664,0.0542,Prentice+16,,IC 5179,42.6,,
,0.1500,,,Lyman+16,,,,,
,0.2500,,,Richardson+06,,,,,
,0.1600,,,Stritzinger+02,,,,,
,0.1000,,,Drout+11,,,,,
SN2004ao,0.0850,0.0850,,Elmhamdi+11,,UGC 10862,26.8,,
SN2004dk,0.2200,0.2250,0.0071,Lyman+16,,NGC 6118,20.8,,
,0.2300,,,Drout+11,,,,,
SN2004ew,0.1200,0.1350,0.0212,Taddia+18,,ESO 153-G17,57.9,,
,0.1500,,,Taddia+18,,,,,
SN2004gq,0.0800,0.1050,0.0208,Taddia+18,,NGC 1832,24.4,,
,0.1100,,,Taddia+18,,,,,
,0.1000,,,Lyman+16,,,,,
,0.1300,,,Drout+11,,,,,
SN2004gv,0.1500,0.1550,0.0071,Taddia+18,,NGC 856,85.3,,# Hubble distance
,0.1600,,,Taddia+18,,,,,
SN2005bf,0.1310,0.1005,0.0431,Prentice+16,,MCG +00-27-05,88.3,,
,0.0700,,,Lyman+16,,,,,
SN2005hg,0.6600,0.6500,0.0141,Lyman+16,,UGC 1394,81,,
,0.6400,,,Drout+11,,,,,
SN2005hl,0.3300,0.3300,,Taddia+15,,SDSS J05519.26+003226.1,100.4,,# Taddia+15 (https://ui.adsabs.harvard.edu/abs/2015A%26A...574A..60T/abstract)
SN2005hm,0.0920,0.1010,0.0127,Prentice+16,,SDSS J13900.64-010138.5,151.6,,# Taddia+15 (https://ui.adsabs.harvard.edu/abs/2015A%26A...574A..60T/abstract)
,0.1100,,,Taddia+15,,,,,
SN2006F ,0.2100,0.2100,,Drout+11,,NGC 935,49.1,,
SN2006dn,0.3000,0.3000,,Drout+11,,UGC 12188,70,,# Drout+11 (https://ui.adsabs.harvard.edu/abs/2011ApJ...741...97D/abstract)
SN2006ep,0.0900,0.0843,0.0271,Taddia+18,,NGC 214,51.1,,
,0.1200,,,Taddia+18,,,,,
,0.0670,,,Prentice+16,,,,,
,0.0600,,,Lyman+16,,,,,
SN2006fo,0.2300,0.2867,0.0814,Taddia+18,,SDSS J23239.29+003702.2,82.7,,# Taddia+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...609A.136T/abstract)
,0.2500,,,Taddia+18,,,,,
,0.3800,,,Taddia+15,,,,,
