SN,Ni56 mass,Average/single values,Reference,,Host_galaxy,Distance,,
SN1998bw,0.4960,0.5832,Prentice+16,,ESO 184-G82,37,,
,0.5400,,Lyman+16,,,,,
,0.7800,,Richardson+06,,,,,
,0.4000,,Nakamura+01,,,,,
,0.7000,,Iwamoto+98,,,,,
SN2002ap,0.0940,0.0877,Prentice+16,,NGC 628,7.5,,
,0.0700,,Lyman+16,,,,,
,0.1400,,Richardson+06,,,,,
,0.0900,,Foley+03,,,,,
,0.0900,,Drout+11,,,,,
,0.0800,,Tomita+06,,,,,
,0.0500,,Sharon+20,,,,,
SN2003dh,0.3390,0.3630,Prentice+16,,A104450+2131,695,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,0.4000,,Deng+05,,,,,
,0.3500,,Mazzali+03,,,,,
SN2003jd,0.3410,0.3678,Prentice+16,,MCG -01-59-21,82.9,,# Hubble distance
,0.4300,,Lyman+16,,,,,
,0.3400,,Drout+11,,,,,
,0.3600,,Valenti+08,,,,,
SN2003lw,0.5500,0.5500,Mazzali+06,,A080230-3951,475,,# Mazzali+06 (https://ui.adsabs.harvard.edu/abs/2006ApJ...645.1323M/abstract)
SN2005kr,0.3300,0.5200,Prentice+16,,SDSS J30829.66+005320.1,605.3,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,0.7100,,Taddia+15,,,,,
SN2005ks,0.0960,0.3480,Prentice+16,,SDSS J13756.52-000157.6,438.5,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,0.6000,,Taddia+15,,,,,
SN2005kz,0.4500,0.4600,Lyman+16,,MCG+08-34-032,124,,# Hubble distance
,0.4700,,Drout+11,,,,,
SN2006aj,0.2170,0.2485,Prentice+16,,A032139+1652,132.4,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,0.2800,,Lyman+16,,,,,
14475,0.1730,0.7215,Prentice+16,,SDSS J22430.87+001212.2,682.3,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract)
,1.2700,,Taddia+15,,,,,
