SN,Type,Ni56 mass,Average/single values,Reference,,Host Galaxy,Distance,Reference_for_Host_Galaxy,Reference_for_Distancec,,
SN1962L,Ic,0.3700,0.3700,Richardson+06,,NGC 1073,7.4,,,,
SN1983I,Ic,0.2300,0.2300,Richardson+06,,NGC 4051,13.7,,,,This was not included in sample I collected.
SN1983N,Ib,0.1000,0.1000,Richardson+06,,NGC 5236,6.5,,,,This was included in only my sample.
SN1983V,Ic,0.1500,0.1500,Richardson+06,,NGC 1365,16.600,,,,
SN1984L,Ib,0.9200,0.6450,Richardson+06,,NGC 991,8.8,,,,
,,0.3700,,,,,,,,,
SN1987M,Ic,0.1300,0.1300,Richardson+06,,NGC 2715,20.4,,,,
SN1990B,Ic,0.1400,0.1400,Richardson+06,,NGC 4568,21,,,,
SN1990I,Ib,0.1800,0.1800,Richardson+06,,NGC 4650A,46.4,,,,
SN1992ar,Ic,0.8400,0.5950,Richardson+06,,A231728-4438,801.7,,# Richardson+06 (https://ui.adsabs.harvard.edu/abs/2006AJ....131.2233R/abstract),,
,,0.3500,,Clochiatti+00,,,,,,,
SN1993J,IIb ,0.1460,0.1052,Prentice+16,,NGC 3031,3.7,,,,
,,0.1200,,Lyman+16,,,,,,,
,,0.1000,,Richardson+06,,,,,,,
,,0.0800,,Shigeyama+94,,,,,,,
,,0.0800,,Sharon+20,,,,,,,
SN1994I,Ic,0.1020,0.0753,Prentice+16,,NGC 5194,7.2,,,,
,,0.0700,,Lyman+16,,,,,,,
,,0.0800,,Richardson+06,,,,,,,
,,0.0600,,Drout+11,,,,,,,
,,0.0700,,Sauer+06,,,,,,,
,,0.0700,,Iwamoto+94,,,,,,,
SN1996cb,IIb ,0.0550,0.0750,Prentice+16,,NGC 3510 ,14.3,,,,
,,0.0900,,Lyman+16,,,,,,,
,,0.0800,,Richardson+06,,,,,,,
SN1997dq,Ic,0.1600,0.1600,Mazzali+04,,NGC 3810,15.7,,,,
SN1997ef,Ic,0.1600,0.1450,Richardson+06,,UGC 4107,55,,,,
,,0.1300,,Mazzali+04,,,,,,,
SN1998bw,Ic-BL,0.4960,0.5832,Prentice+16,,ESO 184-G82,37,,,,
,,0.5400,,Lyman+16,,,,,,,
,,0.7800,,Richardson+06,,,,,,,
,,0.4000,,Nakamura+01,,,,,,,
,,0.7000,,Iwamoto+98,,,,,,,
SN1999dn,Ib,0.0970,0.1023,Prentice+16,,NGC 7714,29.1,,,,
,,0.1000,,Lyman+16,,,,,,,
,,0.1100,,Benetti+11,,,,,,,
SN1999ex,Ib,0.1720,0.1664,Prentice+16,,IC 5179,42.6,,,,
,,0.1500,,Lyman+16,,,,,,,
,,0.2500,,Richardson+06,,,,,,,
,,0.1600,,Stritzinger+02,,,,,,,
,,0.1000,,Drout+11,,,,,,,
SN2001ig,IIb ,0.1300,0.1300,Silverman+09,,NGC 7424,9.3,,,,
SN2002ap,Ic-BL,0.0940,0.0877,Prentice+16,,NGC 628,7.5,,,,
,,0.0700,,Lyman+16,,,,,,,
,,0.1400,,Richardson+06,,,,,,,
,,0.0900,,Foley+03,,,,,,,
,,0.0900,,Drout+11,,,,,,,
,,0.0800,,Tomita+06,,,,,,,
,,0.0500,,Sharon+20,,,,,,,
SN2003bg,IIb ,0.1190,0.1423,Prentice+16,,ESO 420-G009 ,19.1,,,,
,,0.1500,,Lyman+16,,,,,,,
,,0.1500,,Mazzali+09,,,,,,,
,,0.1500,,Hamuy+09,,,,,,,
SN2003dh,Ic-BL,0.3390,0.3630,Prentice+16,,A104450+2131,695,,# Prentice+16 (https://ui.adsabs.harvard.edu/abs/2016MNRAS.458.2973P/abstract),,
,,0.4000,,Deng+05,,,,,,,
,,0.3500,,Mazzali+03,,,,,,,
SN2003jd,Ic-BL,0.3410,0.3678,Prentice+16,,MCG -01-59-21,82.9,,,,
,,0.4300,,Lyman+16,,,,,,,
,,0.3400,,Drout+11,,,,,,,
,,0.3600,,Valenti+08,,,,,,,
SN2003lw,Ic-BL,0.5500,0.5500,Mazzali+06,,A080230-3951,475,,# Mazzali+06 (https://ui.adsabs.harvard.edu/abs/2006ApJ...645.1323M/abstract),,
SN2004ao,Ib,0.0850,0.0850,Elmhamdi+11,,UGC 10862,26.8,,,,
SN2004aw,Ic,0.2000,0.2425,Lyman+16,,NGC 3997,79.2,,,,
,,0.2000,,Mazzali+17,,,,,,,
,,0.2700,,Drout+11,,,,,,,
,,0.3000,,Taubenberger+06,,,,,,,
SN2004dk,Ib,0.2200,0.2250,Lyman+16,,NGC 6118,20.8,,,,
,,0.2300,,Drout+11,,,,,,,
SN2004dn,Ic,0.1600,0.1600,Drout+11,,UGC 2069,47.7,,,,
,,0.1600,,Lyman+16,,,,,,,
SN2004ew,Ib,0.1200,0.1350,Taddia+18,,ESO 153-G17,57.9,,,,
,,0.1500,,Taddia+18,,,,,,,
SN2004ex,IIb ,0.0900,0.0950,Taddia+18,,NGC 182 ,87.9,,,,
,,0.1000,,Taddia+18,,,,,,,
SN2004fe,Ic,0.0800,0.1382,Taddia+18,,NGC 132,76.1,,,,
,,0.1000,,Taddia+18,,,,,,,
,,0.0910,,Prentice+16,,,,,,,
,,0.2300,,Lyman+16,,,,,,,
,,0.1900,,Drout+11,,,,,,,
