#multiple values only for Ni mass.
#Lpeakは今回は略で。
#IcかBroad-lined Ic、Ic-GRBかは不正確。きちんと調べる必要があり。
#Folatelli et al.(2006)はNiの値としてどれを取ればいいかわからなかったので載せなかった。
#taddia et al.(2018)には解析的な評価とhydroによる見積もりがあって、どっちものせた。

# added paper to Meza&Anderson(2020):
# 以下は、Anderson の引用文献に新しく加えた文献も平均に含んでいる。

SN          type      M_Ni                       D_Mpc		 # Citation
SN1962L	    Ic	      0.37	               18.967	         #richard et al.(2006)
SN1983I	    Ic	      0.23	     	       22.080		 #richard et al.(2006)
SN1983N     Ib        0.10	     	       4.4668		 #richard et al.(2006)
SN1983V	    Ic	      0.15	     	       17.947		 #richard et al.(2006)
SN1984L     Ib        0.92	     	       23.442		 #richard et al.(2006)
#     ？？？    SN1984L_pk  Ib        	       0.37	         #richard et al.(2006)
SN1987M	    Ic	      0.13  	     	       25.468		 #richard et al.(2006)
SN1990B	    Ic	      0.14	     	       15.276 		 #richard et al.(2006)
SN1990I     Ib        0.18	     	       45.709		 #richard et al.(2006)
SN1991D     Ib        1.52           	       215.774    	 #richard et al.(2006)  1.52 is upper limit.
SN1992ar    Ic        0.67       	       717.794           #clocchiatti et al.(2000),richard et al.(2006)
SN1993J     IIb       0.105		       3.3               #shigeyama et al.(1994),richard et al.(2006),prentice et al.(2016),lyman et al.(2016)
SN1994I     Ic        0.075      	       6.918             #iwamoto et al.(1994),richard et al.(2006),sauer et al.(2006),drout et al.(2011),prentice et al.(2016),lyman et al.(2016)
SN1996cb    IIb       0.075	       	       16.520	       	 #richard et al.(2006),prentice et al.(2016),lyman et al.(2016)
SN1997dq    Ic        0.16           	       23                #mazzali et al.(2004)
#SN1997ef    hypernova 0.16      	       None              #mazzali et al.(2004),richard et al.(2006)
SN1998bw    Ic-BL     0.5832  		       39                #iwamoto et al.(1998),nakamura et al.(2001),richard et al.(2006),prentice et al.(2016),lyman et al.(2016)
SN1999dn    Ib	      0.102	       	       38.905		 #benetti et al.(2011),prentice et al.(2016),lyman et al.(2016)
SN1999ex    Ib/c      0.1664      	       51.2              #stritzinger et al.(2002),richard et al.(2006),drout et al.(2011),prentice et al.(2016),lyman et al.(2016)
SN2001ig    IIb	      0.13	     	       12.589	       	 #silverman et al.(2009)
SN2002ap    Ic        0.088       	       7.3               #foley et al.(2003),richard et al.(2006),tomita et al.(2006),drout et al.(2011),prentice et al.(2016),lyman et al.(2016)
SN2003bg    IIb	      0.142        	       24	  	 #mazzali et al.(2009),hamuy et al.(2009),prentice et al.(2016) # 0.15 for Hamuy09 is average btw 0.1, 0.2,lyman et al.(2016)
SN2003dh    GRB-SN    0.363           	       695.024           #mazzali et al.(2003),Deng et al.(2005),prentice et al.(2016)
SN2003jd    Ic-BL     0.370	       	       77     	       	 #drout et al.(2011),prentice et al.(2016),lyman et al.(2016)
SN2003lw    hypernova 0.55           	       475               #mazzali et al.(2006)
SN2004ao    Ib	      0.085		       25.823		 #elmhamdi et al.(2011)
SN2004aw    Ic	      0.243       	       68.234	         #taubenberger et al.(2006),mazzali et al.(2017),drout et al.(2011),lyman et al.(2016)
SN2004dk    Ib	      0.225	     	       23   	       	 #drout et al.(2011),lyman et al.(2016)
SN2004dn    Ic	      0.16		       51	       	 #drout et al.(2011),lyman et al.(2016)
SN2004ew    Ib	      0.135	       	       90.5	         #taddia et al.(2018)
SN2004ex    IIb	      0.095		       70.6	         #taddia et al.(2018)
