#距離が複数の値ある場合はどれか一つのものを使う。Niが複数ある場合は平均。

# Lは後回し。

SN           D_Mpc       M_Ni		       Citation

############

1968L        4.1         None					Hamuy_2003
1969L        10.0        (0.082,0.067)				Hamuy_2003,Elmhamdi_etal_2003
1970G        7.4         (0.037,0.051)	      	    		Hamuy_2003,Elmhamdi_etal_2003
1973R        10.3        0.084	      	    	    		Hamuy_2003
1980K	      4.5	 0.0061					Pejcha_and_Prieto_2015
1986I        17.0        0.117	      		    		Hamuy_2003
1986L        18.7       (0.034,0.026)	      	    		Hamuy_2003,Nadyozhin_2003
1987A        0.05        (0.075,0.073)                		Arnett_etal_1989,Otsuka_etal_2012
1988A        17.0        (0.062,0.088)	      	    		Hamuy_2003,Elmhamdi_etal_2003
1988H        28.5        0.033                      		Elmhamdi_etal_2003       
1989L        17.0        0.015 	      	    	    		Hamuy_2003
1990E        18.2       (0.062,0.052,0.043)	    		Hamuy_2003,Nadyozhin_2003,Elmhamdi_etal_2003
1990K        23.2        0.039	      	    	   		Hamuy_2003
1991al       65.9        (0.095,0.12)	      	    		Hamuy_2003,Nadyozhin_2003
1991G        14.7        (0.022,0.021)	      	    		Hamuy_2003,Elmhamdi_etal_2003
1992H        29.4        (0.129,0.123,0.2798)      	    	Hamuy_2003,Elmhamdi_etal_2003,Pejcha_and_Prieto_2015
1992af       80.0        (0.156,0.24)      	    		Hamuy_2003,Nadyozhin_2003
1992am      206.0        (0.256,0.36)	      	    		Hamuy_2003,Nadyozhin_2003
1992ba       15.2        (0.019,0.029,0.037)	      	    	Hamuy_2003,Nadyozhin_2003,Muller_etal_2017
1993A       131.4        None	      	    	    		Hamuy_2003
1993S       141.9        None					Hamuy_2003
1994N        46.6        0.006					Pastorello_etal_2004
1995ad	     22.9	 (0.028,0.093)				Inserra_etal_2013,Pejcha_and_Prieto_2015
1996W	     24.3	 (0.14,0.12)				Inserra_etal_2013,Pejcha_and_Prieto_2015
1997D        18.1        (0.008,0.002,0.0065,0.0036)	        Zampieri_etal_2003,Turatto_etal_1998,Elmhamdi_etal_2003								
1998A        30.3        0.11 					Pastorello_etal_2005
1999br       10.8        (0.0016,0.002)	      	    		Hamuy_2003,Pastorello_etal_2004
1999ca       45.7        0.038	      	    			Hamuy_2003
1999cr       93.8        (0.090,0.085)	      	    		Hamuy_2003,Nadyozhin_2003
1999eg       95.5        None	      	    			Hamuy_2003
1999em       10.7        (0.042,0.058,0.027,0.056,0.019,0.050)	Hamuy_2003,Nadyozhin_2003,Elmhamdi_etal_2003,Bersten_etal_2011,Otsuka_etal_2012,Pejcha_and_Prieto_2015
1999gi        9.0        (0.018,0.025,0.0246)	       	    	Hamuy_2003,Nadyozhin_2003,Elmhamdi_etal_2003
#1999eu       None        0.0028                 		Elmhamdi_etal_2003
##1999gn     12.6	  
2000cb	     30		 0.1 					Kleiser_etal_2011
2001dc       37.2        (0.006,0.0046)				Pastorello_etal_2004,Pejcha_and_Prieto_2015
2002gd	     37.5	 0.003					Spiro_etal_2014 # Ni mass is upper limit.
2002gw	     51.1	 0.044	 				Muller_etal_2017
